0 3.96945e-12
0.015625 0.00889423
0.03125 0.0189446
0.046875 0.0301053
0.0625 0.0423306
0.078125 0.0555746
0.09375 0.0697917
0.109375 0.0849359
0.125 0.100962
0.140625 0.117823
0.15625 0.135474
0.171875 0.153869
0.1875 0.172962
0.203125 0.192708
0.21875 0.213061
0.234375 0.233974
0.25 0.255403
0.265625 0.277301
0.28125 0.299622
0.296875 0.322321
0.3125 0.345353
0.328125 0.36867
0.34375 0.392228
0.359375 0.41598
0.375 0.439881
0.390625 0.463885
0.40625 0.487946
0.421875 0.512019
0.4375 0.536058
0.453125 0.560016
0.46875 0.583848
0.484375 0.607509
0.5 0.630952
0.515625 0.654132
0.53125 0.677003
0.546875 0.699519
0.5625 0.721635
0.578125 0.743304
0.59375 0.76448
0.609375 0.785119
0.625 0.805174
0.640625 0.824599
0.65625 0.843349
0.671875 0.861378
0.6875 0.87864
0.703125 0.895089
0.71875 0.91068
0.734375 0.925366
0.75 0.939103
0.765625 0.951843
0.78125 0.963542
0.796875 0.974153
0.8125 0.983631
0.828125 0.99193
0.84375 0.999004
0.859375 1.00481
0.875 1.00929
0.890625 1.01242
0.90625 1.01414
0.921875 1.0144
0.9375 1.01316
0.953125 1.01038
0.96875 1.00601
0.984375 1
